threshold,precision,recall,f1,avg_predictions
0.1,0.029711971093543225,1.0,0.05623168196149294,249.0
0.15000000000000002,0.029711971093543225,1.0,0.05623168196149294,249.0
0.20000000000000004,0.029712713503055568,1.0,0.056233012064479566,248.9942693409742
0.25000000000000006,0.02971841862848172,1.0,0.056243081018805735,248.95702005730658
0.30000000000000004,0.029754054417032754,1.0,0.05630687962256099,248.71633237822348
0.3500000000000001,0.029739824879769915,0.9956908639610665,0.056264469506880146,247.26647564469914
0.40000000000000013,0.029778608169043423,0.965096468780784,0.05622292542771481,238.8080229226361
0.45000000000000007,0.029630939610723567,0.8408858277317338,0.055437019645744975,204.621776504298
0.5000000000000001,0.028512785864318,0.5189229264780111,0.051445726509362945,126.20916905444126
0.5500000000000002,0.02894296952192925,0.20314272362186953,0.04480621414406621,46.355300859598856
0.6000000000000002,0.025338880834590814,0.056141076058399186,0.024297761575900904,9.919770773638968
0.6500000000000001,0.023848183017237456,0.005891411693058881,0.008308578749666512,1.5616045845272206
0.7000000000000002,0.00501432664756447,0.0005065493246009004,0.0009034215405359852,0.22636103151862463
0.7500000000000002,0.0,0.0,0.0,0.02005730659025788
0.8000000000000002,0.0,0.0,0.0,0.0
0.8500000000000002,0.0,0.0,0.0,0.0
