threshold,precision,recall,f1,avg_preds
0.1,0.6981993053759582,0.864773393397809,0.752661809051229,9.598853868194842
0.15000000000000002,0.7518959852036406,0.8462699385345224,0.778379330325801,8.401146131805158
0.20000000000000004,0.7813994559257792,0.824268578479581,0.7862763473739891,7.664756446991404
0.25000000000000006,0.7995231270429822,0.8029121235088859,0.7852664245949256,7.097421203438396
0.30000000000000004,0.8106831535418964,0.7835190892752836,0.7802775274037336,6.653295128939828
0.3500000000000001,0.826435735938894,0.7704079714706835,0.7796040174634395,6.32378223495702
0.40000000000000013,0.8296461579356317,0.7493940959761631,0.7689587421110754,6.037249283667622
0.45000000000000007,0.8288816929491968,0.7293047909827629,0.7558336241568273,5.7908309455587395
0.5000000000000001,0.8342544982250863,0.7154253755755544,0.7487185560896239,5.535816618911174
0.5500000000000002,0.8379973988460644,0.6931362580592381,0.737487352852493,5.263610315186247
0.6000000000000002,0.8398119418157876,0.6796117763300569,0.7275181685885994,5.037249283667622
0.6500000000000001,0.8406850511793206,0.6594116753802911,0.7140548318741479,4.793696275071634
0.7000000000000002,0.8428481553802019,0.6349350771634741,0.6954344592982854,4.504297994269341
0.7500000000000002,0.843391865092966,0.6066203751155088,0.6734003756317347,4.2464183381088825
0.8000000000000002,0.8358676821427539,0.5838128911055749,0.6534110850983563,3.9541547277936964
0.8500000000000002,0.8270293408671969,0.5509233709221586,0.6242068752776594,3.64756446991404
